accuracy,f1,precision,recall,model,dataset_type,dataset_size,lang,time,GPU
0.932727,0.877483,0.871711,0.883333,bert-base-multilingual-uncased,cameras,medium,ENG,1399,P100
0.951818,0.90971,0.930314,0.89,bert-base-multilingual-uncased,cameras,large,ENG,6339,T4
0.955455,0.916525,0.937282,0.896667,bert-base-multilingual-uncased,cameras,large,ENG,6867,T4
0.946364,0.899145,0.922807,0.876667,bert-base-multilingual-uncased,cameras,large,ENG,6867,T4
0.924545,0.872504,0.809117,0.946667,bert-base-multilingual-uncased,watches,small,ENG,598,P100
0.930909,0.877814,0.847826,0.91,bert-base-multilingual-uncased,watches,small,ENG,620,P100
0.926364,0.875193,0.813754,0.946667,bert-base-multilingual-uncased,watches,small,ENG,580,P100
0.945455,0.9,0.9,0.9,bert-base-multilingual-uncased,watches,medium,ENG,1312,P100
0.947273,0.903974,0.898026,0.91,bert-base-multilingual-uncased,watches,medium,ENG,1313,P100
0.961818,0.929766,0.932886,0.926667,bert-base-multilingual-uncased,watches,medium,ENG,1328,P100
0.963636,0.931034,0.964286,0.9,bert-base-multilingual-uncased,watches,large,ENG,4865,T4
0.971818,0.947368,0.965398,0.93,bert-base-multilingual-uncased,watches,large,ENG,4823,T4
0.964545,0.933105,0.961131,0.906667,bert-base-multilingual-uncased,watches,large,ENG,4798,T4
0.856364,0.77933,0.670673,0.93,bert-base-multilingual-uncased,shoes,small,ENG,445,P100
0.878182,0.801187,0.721925,0.9,bert-base-multilingual-uncased,shoes,small,ENG,445,P100
0.902727,0.821963,0.820598,0.823333,bert-base-multilingual-uncased,shoes,small,ENG,420,P100
0.917273,0.843373,0.871886,0.816667,bert-base-multilingual-uncased,shoes,medium,ENG,867,P100
0.915455,0.844741,0.846154,0.843333,bert-base-multilingual-uncased,shoes,medium,ENG,891,P100
0.916364,0.850649,0.829114,0.873333,bert-base-multilingual-uncased,shoes,medium,ENG,872,P100
0.944545,0.896082,0.916376,0.876667,bert-base-multilingual-uncased,shoes,large,ENG,4092,P100
0.947273,0.901361,0.920139,0.883333,bert-base-multilingual-uncased,shoes,large,ENG,4045,P100
0.953636,0.913413,0.930796,0.896667,bert-base-multilingual-uncased,shoes,large,ENG,4045,P100
0.903636,0.841791,0.762162,0.94,xlm-roberta-base,computers,small,ENG,840,T4
